Year,MAM,OND,LR_Phase,SR_Phase
1950,-1.09,-0.41,LN,N
1951,0.6,0.91,EN,EN
1952,0.44,-0.01,N,N
1953,0.83,0.81,EN,EN
1954,-0.2,-0.56,N,LN
1955,-0.39,-1.63,N,LN
1956,-0.06,-0.37,N,N
1957,0.97,1.52,EN,EN
1958,1.07,0.39,EN,N
1959,0.44,-0.11,N,N
1960,0.08,0.01,N,N
1961,0.1,-0.24,N,N
1962,-0.22,-0.46,N,N
1963,0.24,1.22,N,EN
1964,-0.37,-0.7,N,LN
1965,0.37,2.04,N,EN
1966,0.87,-0.12,EN,N
1967,-0.4,0.01,N,N
1968,-0.19,0.77,N,EN
1969,0.54,0.74,EN,EN
1970,0.11,-0.7,N,LN
1971,-0.6,-0.52,LN,LN
1972,0.77,2.21,EN,EN
1973,-0.25,-1.95,N,LN
1974,-0.86,-0.45,LN,N
1975,-0.47,-1.08,N,LN
1976,-0.11,1.13,N,EN
1977,0.31,1.09,N,EN
1978,-0.18,0.15,N,N
1979,0.2,0.54,N,EN
1980,0.21,0.2,N,N
1981,-0.34,-0.19,N,N
1982,0.64,2.43,EN,EN
1983,1.37,-1.14,EN,LN
1984,-0.52,-0.83,LN,LN
1985,-0.69,-0.09,LN,N
1986,-0.12,1.36,N,EN
1987,0.97,1.02,EN,EN
1988,-0.75,-1.94,LN,LN
1989,-0.85,-0.15,LN,N
1990,0.25,0.39,N,N
1991,0.35,1.7,N,EN
1992,1.73,0.08,EN,N
1993,0.97,0.28,EN,N
1994,0.54,1.34,EN,EN
1995,0.37,-0.95,N,LN
1996,-0.39,-0.3,N,N
1997,0.52,2.36,EN,EN
1998,0.77,-1.63,EN,LN
1999,-1.0,-1.38,LN,LN
2000,-0.78,-0.69,LN,LN
2001,-0.46,-0.25,N,N
2002,0.11,1.47,N,EN
2003,-0.23,0.32,N,N
2004,0.16,0.73,N,EN
2005,0.31,-0.5,N,LN
2006,-0.42,0.94,N,EN
2007,-0.36,-1.41,N,LN
2008,-0.95,-0.6,LN,LN
2009,-0.42,1.34,N,EN
2010,0.05,-1.72,N,LN
2011,-0.69,-1.05,LN,LN
2012,-0.47,-0.06,N,N
2013,-0.43,-0.22,N,N
2014,-0.05,0.52,N,EN
2015,0.61,2.34,EN,EN
2016,0.54,-1.08,EN,LN
2017,-0.09,-1.15,N,LN
2018,-0.67,0.77,LN,EN
2019,0.52,0.23,EN,N
2020,-0.28,-1.54,N,LN
2021,-0.79,-1.23,LN,LN
2022,-1.34,-1.05,LN,LN
2023,-0.21,1.49,N,EN
2024,0.05,-0.94,N,LN
2025,-0.52,-0.93,LN,LN
