CONST_CODE,Shape_Area,OBJECTID_1,NAME,OBJECTID,CONSTITUEN,COUNTY_ASS,SPOILT,COUNTY_A_1,REJECTED,REPORTED,SPOILT_VAL,VALID,DISPUTED,RESULT,COUNTY_COD,Shape_Leng,COUNTY_NAM,Shape_Le_1,REGISTERED,Main_Nandi_Elevation_30m,Main_Risks_Mean_LongRains,Main_Risks_Std_LongRains,Main_Suit_Class_LongRains,Main_Suit_Std_LongRains,Main_Advisory_bedrock_depth_LongRains,Main_Suit_Mean_LongRains,Main_Advisory_stone_content_LongRains,Main_Advisory_phosphorus_LongRains,Main_Conf_Tier_LongRains,Main_Risks_Mean_ShortRains,Main_Risks_Std_ShortRains,Main_Suit_Class_ShortRains,Main_Conf_Tier_ShortRains,Main_Advisory_bedrock_depth_ShortRains,Main_Suit_Std_ShortRains,Main_Advisory_stone_content_ShortRains,Main_Suit_Mean_ShortRains,Main_Advisory_phosphorus_ShortRains,LR_Fact_rain_mean,LR_Fact_rain_std,LR_Fact_texture_mean,LR_Fact_texture_std,LR_Fact_temp_std,LR_Fact_slope_std,LR_Fact_slope_mean,LR_Fact_rh_mean,LR_Fact_rh_std,LR_Fact_ecec_mean,LR_Fact_ecec_std,LR_Fact_temp_mean,LR_Fact_organic_carbon_std,LR_Fact_cec_apparent_std,LR_Fact_organic_carbon_mean,LR_Fact_cec_apparent_mean,LR_Fact_iron_std,LR_Fact_zinc_mean,LR_Fact_iron_mean,LR_Fact_zinc_std,LR_Fact_ph_mean,LR_Fact_ph_std,LR_Fact_calcium_std,LR_Fact_calcium_mean,LR_Fact_magnesium_mean,LR_Fact_total_nitrogen_std,LR_Fact_magnesium_std,LR_Fact_potassium_std,LR_Fact_total_nitrogen_mean,LR_Fact_potassium_mean,LR_Fact_phosphorus_mean,LR_Fact_phosphorus_std,LR_Fact_stone_content_mean,LR_Fact_stone_content_std,LR_Fact_bedrock_depth_std,LR_Fact_bedrock_depth_mean,LR_Fact_prob_cold_std,LR_Fact_prob_cold_mean,LR_Fact_prob_drought_mean,LR_Fact_prob_drought_std,LR_Fact_prob_heat_mean,LR_Fact_prob_heat_std,LR_Fact_prob_flood_std,LR_Fact_prob_flood_mean,LR_Fact_prob_overall_fail_mean,LR_Fact_prec_month1_mean,LR_Fact_prob_overall_fail_std,LR_Fact_prec_month2_mean,LR_Fact_min_temp_mean,LR_Fact_prec_month1_std,LR_Fact_germin_temp_mean,LR_Fact_prec_month2_std,LR_Fact_prec_month3_mean,LR_Fact_prec_month4_std,LR_Fact_prec_month3_std,LR_Fact_prec_month4_mean,LR_Fact_min_temp_std,LR_Fact_max_temp_mean,LR_Fact_max_temp_std,LR_Fact_germin_temp_std,LR_Fact_rh_dev_std,LR_Fact_rh_dev_mean,LR_Fact_rh_mat_std,LR_Fact_rh_mat_mean,SR_Fact_rain_mean,SR_Fact_slope_mean,SR_Fact_slope_std,SR_Fact_texture_std,SR_Fact_texture_mean,SR_Fact_ecec_mean,SR_Fact_ecec_std,SR_Fact_temp_std,SR_Fact_rain_std,SR_Fact_rh_mean,SR_Fact_rh_std,SR_Fact_temp_mean,SR_Fact_cec_apparent_mean,SR_Fact_organic_carbon_std,SR_Fact_cec_apparent_std,SR_Fact_organic_carbon_mean,SR_Fact_zinc_mean,SR_Fact_zinc_std,SR_Fact_iron_mean,SR_Fact_iron_std,SR_Fact_ph_mean,SR_Fact_ph_std,SR_Fact_total_nitrogen_mean,SR_Fact_total_nitrogen_std,SR_Fact_calcium_std,SR_Fact_potassium_mean,SR_Fact_magnesium_mean,SR_Fact_magnesium_std,SR_Fact_calcium_mean,SR_Fact_stone_content_mean,SR_Fact_phosphorus_mean,SR_Fact_phosphorus_std,SR_Fact_potassium_std,SR_Fact_bedrock_depth_std,SR_Fact_bedrock_depth_mean,SR_Fact_stone_content_std,SR_Fact_prob_cold_mean,SR_Fact_prob_cold_std,SR_Fact_prob_heat_mean,SR_Fact_prob_heat_std,SR_Fact_prob_drought_mean,SR_Fact_prob_drought_std,SR_Fact_prob_flood_std,SR_Fact_prob_overall_fail_mean,SR_Fact_prob_flood_mean,SR_Fact_prob_overall_fail_std,SR_Fact_prec_month3_mean,SR_Fact_prec_month4_mean,SR_Fact_min_temp_mean,SR_Fact_prec_month1_std,SR_Fact_prec_month1_mean,SR_Fact_prec_month2_mean,SR_Fact_prec_month2_std,SR_Fact_prec_month3_std,SR_Fact_germin_temp_mean,SR_Fact_prec_month4_std,SR_Fact_min_temp_std,SR_Fact_max_temp_std,SR_Fact_max_temp_mean,SR_Fact_germin_temp_std,SR_Fact_rh_dev_std,SR_Fact_rh_dev_mean,SR_Fact_rh_mat_std,SR_Fact_rh_mat_mean,LR_Raw_slope_raw,LR_Raw_ecec_raw,LR_Raw_cec_apparent_raw,LR_Raw_organic_carbon_raw,LR_Raw_iron_raw,LR_Raw_zinc_raw,LR_Raw_ph_raw,LR_Raw_total_nitrogen_raw,LR_Raw_calcium_raw,LR_Raw_potassium_raw,LR_Raw_magnesium_raw,LR_Raw_phosphorus_raw,LR_Raw_stone_content_raw,LR_Raw_bedrock_depth_raw,LR_Raw_prec_month1_raw,LR_Raw_prec_month2_raw,LR_Raw_prec_month3_raw,LR_Raw_prec_month4_raw,LR_Raw_mean_season_rain_raw,LR_Raw_min_temp_raw,LR_Raw_max_temp_raw,LR_Raw_germin_temp_raw,LR_Raw_texture_raw,LR_Raw_mean_temp_raw,LR_Raw_rh_dev_raw,LR_Raw_rh_mat_raw,LR_Raw_clay_content_raw,SR_Raw_slope_raw,SR_Raw_ecec_raw,SR_Raw_organic_carbon_raw,SR_Raw_cec_apparent_raw,SR_Raw_iron_raw,SR_Raw_zinc_raw,SR_Raw_ph_raw,SR_Raw_total_nitrogen_raw,SR_Raw_phosphorus_raw,SR_Raw_calcium_raw,SR_Raw_magnesium_raw,SR_Raw_potassium_raw,SR_Raw_stone_content_raw,SR_Raw_bedrock_depth_raw,SR_Raw_prec_month1_raw,SR_Raw_prec_month2_raw,SR_Raw_prec_month3_raw,SR_Raw_prec_month4_raw,SR_Raw_mean_season_rain_raw,SR_Raw_max_temp_raw,SR_Raw_germin_temp_raw,SR_Raw_mean_temp_raw,SR_Raw_texture_raw,SR_Raw_min_temp_raw,SR_Raw_rh_dev_raw,SR_Raw_rh_mat_raw,SR_Raw_clay_content_raw
158,0.03967992748,664,BARTABWA,2853,BARINGO NORTH,792,0.0,BARTABWA,24.0,3.0,0.0,168.0,0.0,1,30,1.18664534733,BARINGO,1.18664534733,3855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.03795482298,657,BARWESSA,2750,BARINGO NORTH,788,16.0,BARWESSA,8.0,8.0,0.017003188097768,941.0,0.0,1,30,1.28985762604,BARINGO,1.28985762604,8019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.01028901046,648,KABARTONJO,2690,BARINGO NORTH,789,32.0,KABARTONJO,32.0,10.0,0.020499679692505,1561.0,0.0,1,30,0.54046207773,BARINGO,0.54046207773,7384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.00739606655,659,SAIMO/KIPSARAMAN,2786,BARINGO NORTH,790,56.0,SAIMO/KIPSARAMAN,144.0,9.0,0.035021888680425,1599.0,0.0,1,30,0.53365809739,BARINGO,0.53365809739,7911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.03735045598,643,SAIMO/SOI,2669,BARINGO NORTH,791,16.0,SAIMO/SOI,136.0,7.0,0.015080113100848,1061.0,0.0,1,30,0.86510203107,BARINGO,0.86510203107,5647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.01450188807,642,EWALEL/CHAPCHAP,2668,BARINGO CENTRAL,796,48.0,EWALEL CHAPCHAP,256.0,20.0,0.009681323114159,4958.0,0.0,1,30,0.77740400774,BARINGO,0.77740400774,6382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.01285116392,655,KABARNET,2732,BARINGO CENTRAL,793,72.0,KABARNET,208.0,29.0,0.013083772487734,5503.0,0.0,1,30,0.63880909083,BARINGO,0.63880909083,9533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.00950905028,667,KAPROPITA,2878,BARINGO CENTRAL,797,96.0,KAPROPITA,192.0,22.0,0.025457438345267,3771.0,0.0,1,30,0.56074222696,BARINGO,0.56074222696,5632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.0077320703,650,SACHO,2701,BARINGO CENTRAL,794,72.0,SACHO,232.0,18.0,0.021752265861027,3310.0,0.0,1,30,0.54581565616,BARINGO,0.54581565616,3908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0.00912407521,647,TENGES,2685,BARINGO CENTRAL,795,16.0,TENGES,152.0,19.0,0.00537453812563,2977.0,0.0,1,30,0.56456609937,BARINGO,0.56456609937,3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
